t,E,N,Alt,HDOP
1759770150.0,328117.99995067366,4689437.995827569,26.026,0.9
1759770151.0,328118.6196944769,4689438.639313435,25.872,0.9
1759770152.0,328119.25774269225,4689439.272905927,25.747,1.0
1759770153.0,328119.89062796475,4689439.931254371,25.626,1.0
1759770154.0,328120.53624883806,4689440.526328475,25.178,0.9
1759770155.0,328121.172345796,4689441.23718992,25.055,0.9
1759770156.0,328121.8314906502,4689441.857117058,24.652,0.9
1759770157.0,328122.4708268578,4689442.548825378,24.611,0.9
1759770158.0,328123.09356486745,4689443.230385633,24.64,0.9
1759770159.0,328123.6918593297,4689443.929212079,24.698,1.0
1759770160.0,328124.2939616362,4689444.604056657,24.473,1.0
1759770161.0,328125.0040318734,4689445.294955544,24.237,1.0
1759770162.0,328125.69335776335,4689445.997104041,24.127,1.0
1759770163.0,328126.3324043789,4689446.738633754,24.026,1.1
1759770164.0,328126.97882829,4689447.41127997,23.919,1.0
1759770165.0,328127.61748152075,4689448.103190651,23.799,1.1
1759770166.0,328128.24453856563,4689448.787237892,23.721,1.1
1759770167.0,328128.8856450902,4689449.500754785,23.584,1.1
1759770168.0,328129.53841997735,4689450.202689331,23.51,1.0
1759770169.0,328130.22652952943,4689450.894497877,23.432,1.0
1759770170.0,328130.9055740532,4689451.6480093375,23.504,1.0
1759770171.0,328131.5294685763,4689452.399170339,23.585,1.0
1759770172.0,328132.2182205601,4689453.150777099,23.475,1.0
1759770173.0,328132.890319005,4689453.917977444,23.413,1.1
1759770174.0,328133.55716320506,4689454.661418273,23.355,1.0
1759770175.0,328134.25626706704,4689455.414993415,23.232,1.1
1759770176.0,328134.9776201071,4689456.20746651,23.049,1.6
1759770177.0,328135.6652315884,4689457.030211458,22.947,1.0
1759770178.0,328136.37672958366,4689457.757001668,22.819,1.0
1759770179.0,328137.0351138073,4689458.530835032,22.882,1.1
1759770180.0,328137.71577384067,4689459.277455711,22.902,1.0
1759770181.0,328138.4870103691,4689460.036853954,22.842,1.0
1759770182.0,328139.1914978499,4689460.825111674,22.662,1.0
1759770183.0,328139.8511308471,4689461.5994701795,22.574,1.6
1759770184.0,328140.46363896073,4689462.384984741,22.48,1.1
1759770185.0,328141.180394018,4689463.208496614,22.305,1.1
1759770186.0,328141.89839572075,4689463.998830385,22.112,1.0
1759770187.0,328142.6230630574,4689464.825666728,21.991,1.0
1759770188.0,328143.3367591571,4689465.608513801,21.997,1.0
1759770189.0,328144.06313610636,4689466.42104932,21.887,1.0
1759770190.0,328144.87970130186,4689467.241742464,21.729,1.0
1759770191.0,328145.6637562985,4689468.114899064,21.668,1.0
1759770192.0,328146.4246323584,4689468.928069876,21.695,1.1
1759770193.0,328147.1006521939,4689469.754433481,21.699,1.0
1759770194.0,328147.83034990996,4689470.59596146,21.677,1.0
1759770195.0,328148.5233944553,4689471.332279415,21.73,1.0
1759770196.0,328149.20782333496,4689472.148622254,21.751,1.0
1759770197.0,328149.9521222054,4689472.958126095,21.692,1.0
1759770198.0,328150.6890101008,4689473.795959481,21.722,1.0
1759770199.0,328151.4033320759,4689474.598791593,21.735,1.0
1759770200.0,328152.1296502125,4689475.375403988,21.73,1.0
1759770201.0,328152.8267969965,4689476.09977004,21.774,1.0
1759770202.0,328153.4199805289,4689476.786502121,21.866,1.1
1759770203.0,328153.8716492882,4689477.338560145,21.928,1.1
1759770204.0,328154.1453286647,4689477.4899916025,21.767,0.9
1759770129.0,328106.1754230639,4689426.3889553705,31.043,1.3
1759770130.0,328106.7685809619,4689426.178477419,29.536,1.0
1759770131.0,328107.12318723113,4689426.3468099255,28.618,1.2
1759770132.0,328107.6449135308,4689426.836591646,28.418,1.0
1759770133.0,328108.1200888073,4689427.59047423,28.267,1.0
1759770134.0,328108.9460407584,4689428.457413969,27.92,1.0
1759770135.0,328109.3864475674,4689428.891784812,27.539,1.2
1759770136.0,328109.95274991053,4689429.652875688,27.839,1.1
1759770137.0,328110.5819052163,4689429.985579644,27.323,1.6
1759770138.0,328111.2135277823,4689430.625995708,26.909,1.0
1759770139.0,328111.7656956125,4689431.130215659,26.512,1.1
1759770140.0,328112.26136516745,4689431.812300507,26.658,1.0
1759770141.0,328112.79224232165,4689432.383893685,26.647,1.0
1759770142.0,328113.3108634852,4689432.999120237,26.47,1.0
1759770143.0,328113.84702669934,4689433.618175571,26.581,1.0
1759770144.0,328114.4556017617,4689434.248787231,26.746,1.0
1759770145.0,328115.04135368235,4689434.895514259,26.915,1.0
1759770146.0,328115.63979898475,4689435.460449759,26.586,1.0
1759770147.0,328116.19003182766,4689436.003420553,26.236,0.9
1759770148.0,328116.7768938825,4689436.706601,26.45,0.9
1759770149.0,328117.40561827377,4689437.34653313,26.143,0.9
1759770150.0,328117.99995067366,4689437.995827569,26.026,0.9
1759770151.0,328118.6196944769,4689438.639313435,25.872,0.9
1759770152.0,328119.25774269225,4689439.272905927,25.747,1.0
1759770153.0,328119.89062796475,4689439.931254371,25.626,1.0
1759770154.0,328120.53624883806,4689440.526328475,25.178,0.9
1759770155.0,328121.172345796,4689441.23718992,25.055,0.9
1759770156.0,328121.8314906502,4689441.857117058,24.652,0.9
1759770157.0,328122.4708268578,4689442.548825378,24.611,0.9
1759770158.0,328123.09356486745,4689443.230385633,24.64,0.9
1759770159.0,328123.6918593297,4689443.929212079,24.698,1.0
1759770160.0,328124.2939616362,4689444.604056657,24.473,1.0
1759770161.0,328125.0040318734,4689445.294955544,24.237,1.0
1759770162.0,328125.69335776335,4689445.997104041,24.127,1.0
1759770163.0,328126.3324043789,4689446.738633754,24.026,1.1
1759770164.0,328126.97882829,4689447.41127997,23.919,1.0
1759770165.0,328127.61748152075,4689448.103190651,23.799,1.1
1759770166.0,328128.24453856563,4689448.787237892,23.721,1.1
1759770167.0,328128.8856450902,4689449.500754785,23.584,1.1
1759770168.0,328129.53841997735,4689450.202689331,23.51,1.0
1759770169.0,328130.22652952943,4689450.894497877,23.432,1.0
1759770170.0,328130.9055740532,4689451.6480093375,23.504,1.0
1759770171.0,328131.5294685763,4689452.399170339,23.585,1.0
1759770172.0,328132.2182205601,4689453.150777099,23.475,1.0
1759770173.0,328132.890319005,4689453.917977444,23.413,1.1
1759770174.0,328133.55716320506,4689454.661418273,23.355,1.0
1759770175.0,328134.25626706704,4689455.414993415,23.232,1.1
1759770176.0,328134.9776201071,4689456.20746651,23.049,1.6
1759770177.0,328135.6652315884,4689457.030211458,22.947,1.0
1759770178.0,328136.37672958366,4689457.757001668,22.819,1.0
1759770179.0,328137.0351138073,4689458.530835032,22.882,1.1
1759770180.0,328137.71577384067,4689459.277455711,22.902,1.0
1759770181.0,328138.4870103691,4689460.036853954,22.842,1.0
1759770182.0,328139.1914978499,4689460.825111674,22.662,1.0
1759770183.0,328139.8511308471,4689461.5994701795,22.574,1.6
1759770184.0,328140.46363896073,4689462.384984741,22.48,1.1
1759770185.0,328141.180394018,4689463.208496614,22.305,1.1
1759770186.0,328141.89839572075,4689463.998830385,22.112,1.0
1759770187.0,328142.6230630574,4689464.825666728,21.991,1.0
1759770188.0,328143.3367591571,4689465.608513801,21.997,1.0
1759770189.0,328144.06313610636,4689466.42104932,21.887,1.0
1759770190.0,328144.87970130186,4689467.241742464,21.729,1.0
1759770191.0,328145.6637562985,4689468.114899064,21.668,1.0
1759770192.0,328146.4246323584,4689468.928069876,21.695,1.1
1759770193.0,328147.1006521939,4689469.754433481,21.699,1.0
1759770194.0,328147.83034990996,4689470.59596146,21.677,1.0
1759770195.0,328148.5233944553,4689471.332279415,21.73,1.0
1759770196.0,328149.20782333496,4689472.148622254,21.751,1.0
1759770197.0,328149.9521222054,4689472.958126095,21.692,1.0
1759770198.0,328150.6890101008,4689473.795959481,21.722,1.0
1759770199.0,328151.4033320759,4689474.598791593,21.735,1.0
1759770200.0,328152.1296502125,4689475.375403988,21.73,1.0
1759770201.0,328152.8267969965,4689476.09977004,21.774,1.0
1759770202.0,328153.4199805289,4689476.786502121,21.866,1.1
1759770203.0,328153.8716492882,4689477.338560145,21.928,1.1
1759770204.0,328154.1453286647,4689477.4899916025,21.767,0.9
1759770129.0,328106.1754230639,4689426.3889553705,31.043,1.3
1759770130.0,328106.7685809619,4689426.178477419,29.536,1.0
1759770131.0,328107.12318723113,4689426.3468099255,28.618,1.2
1759770132.0,328107.6449135308,4689426.836591646,28.418,1.0
1759770133.0,328108.1200888073,4689427.59047423,28.267,1.0
1759770134.0,328108.9460407584,4689428.457413969,27.92,1.0
1759770135.0,328109.3864475674,4689428.891784812,27.539,1.2
1759770136.0,328109.95274991053,4689429.652875688,27.839,1.1
1759770137.0,328110.5819052163,4689429.985579644,27.323,1.6
1759770138.0,328111.2135277823,4689430.625995708,26.909,1.0
1759770139.0,328111.7656956125,4689431.130215659,26.512,1.1
1759770140.0,328112.26136516745,4689431.812300507,26.658,1.0
1759770141.0,328112.79224232165,4689432.383893685,26.647,1.0
1759770142.0,328113.3108634852,4689432.999120237,26.47,1.0
1759770143.0,328113.84702669934,4689433.618175571,26.581,1.0
1759770144.0,328114.4556017617,4689434.248787231,26.746,1.0
1759770145.0,328115.04135368235,4689434.895514259,26.915,1.0
